machine,checkpoint_role,model,slice,n_seeds,seeds,accuracy_mean,accuracy_population_std,accuracy_min,accuracy_max,retention_mean_vs_1024,absolute_drop_mean_vs_1024
2080ti,last,flash,1024x256,3,123;124;125,0.95340625,0.02765814200213773,0.914328125,0.97440625,1.0,0.0
2080ti,last,flash,2048x512,3,123;124;125,0.7040911458333333,0.16117920983942627,0.4763984375,0.8271640625,0.7341252350475679,0.2493151041666667
2080ti,last,flash,4096x1024,3,123;124;125,0.3256022135416667,0.16543837404582654,0.092451171875,0.45906640625,0.33667014593168654,0.6278040364583334
2080ti,last,flash,8190x512,3,123;124;125,0.5564205729166667,0.20070837189474244,0.2731953125,0.71426171875,0.5778778258167879,0.3969856770833333
2080ti,last,flash,8190x2047,3,123;124;125,0.0977736524995929,0.06549090955187704,0.0055857352222765016,0.15158964338055692,0.10060740698796185,0.8556325975004072
2080ti,last,gdn,1024x256,3,123;124;125,0.9685182291666666,0.0018894875768184934,0.96659375,0.9710859375,1.0,0.0
2080ti,last,gdn,2048x512,3,123;124;125,0.4761106770833334,0.00477945539804586,0.46961328125,0.48097265625,0.49158373762975377,0.49240755208333337
2080ti,last,gdn,4096x1024,3,123;124;125,0.07272200520833333,0.00268613006609655,0.069318359375,0.075884765625,0.07509011186273175,0.8957962239583334
2080ti,last,gdn,8190x512,3,123;124;125,0.29357812499999997,0.0018057637934137997,0.2913359375,0.2957578125,0.30312096584165465,0.6749401041666667
2080ti,last,gdn,8190x2047,3,123;124;125,0.0033779514737013513,0.00021474184852414248,0.0031568148510014655,0.003668783585735222,0.0034879853537189004,0.9651402776929654
2080ti,best,flash,1024x256,3,123;124;125,0.9560755208333332,0.02388729021898626,0.9223359375,0.97440625,1.0,0.0
2080ti,best,flash,2048x512,3,123;124;125,0.7318684895833334,0.12195286826715539,0.55973046875,0.8271640625,0.7627336355439799,0.22420703125
2080ti,best,flash,4096x1024,3,123;124;125,0.3422493489583333,0.14199125295511938,0.142392578125,0.45906640625,0.3544264044595571,0.613826171875
2080ti,best,flash,8190x512,3,123;124;125,0.5785169270833334,0.16954013376581265,0.339484375,0.71426171875,0.6009700555470608,0.37755859374999995
2080ti,best,flash,8190x2047,3,123;124;125,0.10069434945448624,0.061380894721380135,0.014347826086956521,0.15158964338055692,0.1037563573384886,0.8553811713788471
2080ti,best,gdn,1024x256,3,123;124;125,0.9685182291666666,0.0018894875768184934,0.96659375,0.9710859375,1.0,0.0
2080ti,best,gdn,2048x512,3,123;124;125,0.4761106770833334,0.00477945539804586,0.46961328125,0.48097265625,0.49158373762975377,0.49240755208333337
2080ti,best,gdn,4096x1024,3,123;124;125,0.07272200520833333,0.00268613006609655,0.069318359375,0.075884765625,0.07509011186273175,0.8957962239583334
2080ti,best,gdn,8190x512,3,123;124;125,0.29357812499999997,0.0018057637934137997,0.2913359375,0.2957578125,0.30312096584165465,0.6749401041666667
2080ti,best,gdn,8190x2047,3,123;124;125,0.0033779514737013513,0.00021474184852414248,0.0031568148510014655,0.003668783585735222,0.0034879853537189004,0.9651402776929654
