abs_l2_norm_gap,abs_mean_gap,candidate_l2_norm,candidate_mean,candidate_sample,candidate_sha256,dtype_match,layer_idx,micro_step,optimizer_step,ref_l2_norm,ref_mean,ref_sample,ref_sha256,sha256_match,shape_match,trace_name
0.0,1.964508555829525e-10,724.0740356445312,-4.802132025361061e-10,"[0.02532190829515457,0.15918952226638794,-0.7185203433036804,-0.155963733792305,-0.5711404085159302,-0.2691114842891693,-0.22938433289527893,-2.4623677730560303]",ce513891fb8efa13a41de32d8fb8fdc9f7269a8f28bad19d2fd3d9b34ee59a13,True,1,0,0,724.0740356445312,-2.837623469531536e-10,"[0.02532190829515457,0.15918952226638794,-0.7185203433036804,-0.155963733792305,-0.5711404085159302,-0.2691114842891693,-0.22938433289527893,-2.4623677730560303]",ce513891fb8efa13a41de32d8fb8fdc9f7269a8f28bad19d2fd3d9b34ee59a13,True,True,fox_gate/input_x
0.0,2.3283064365386963e-10,20.328201293945312,0.00172038609161973,"[-0.2620857357978821,0.4892271161079407,-0.0837068185210228,0.06343735009431839,-0.02092479169368744,0.2494209110736847,0.01649858057498932,-0.40035274624824524]",be0245b0061825d2b513a21e0137351a8507f430eee14bdd9ac05a53ef302a18,True,1,0,0,20.328201293945312,0.0017203858587890863,"[-0.2620856761932373,0.48922717571258545,-0.083706796169281,0.06343737244606018,-0.020924754440784454,0.2494209110736847,0.016498565673828125,-0.4003526270389557]",1e06fe0ae90f69c777ede6c8ecc8174b8f99a55c59b9b3f13c31fb7c93c3deb7,False,True,fox_gate/logits_cuda
0.0,3.725290298461914e-09,4.002522945404053,-0.043659619987010956,"[-0.052046999335289,-0.029884999617934227,-0.04599199816584587,-0.041370999068021774,-0.04397900030016899,-0.03601200133562088,-0.04280799999833107,-0.05707699805498123]",e267ce78b7c8a499f65ccf247e453d60023d9b308fb76cd32b7a8884b8a1e1d4,True,1,0,0,4.002522945404053,-0.04365961626172066,"[-0.052046999335289,-0.029884999617934227,-0.04599199816584587,-0.041370999068021774,-0.04397900030016899,-0.03601200133562088,-0.04280799999833107,-0.05707699805498123]",52aa775c41af9cf1e47d60ebc54b4b6c42f0a001488c127a8f84565c31a06237,False,True,fox_gate/logf_cuda
0.0,0.0,20.328201293945312,0.0017203855095431209,"[-0.26208573652702566,0.48922715412047246,-0.08370679527125154,0.06343735019055553,-0.020924777343609854,0.24942087489139905,0.016498561049070215,-0.40035271848105913]",71b8ae984a3904741eba100b28919d71e5def4b2cd11364596ebfc457f01cfb5,True,1,0,0,20.328201293945312,0.0017203855095431209,"[-0.2620857365270256,0.4892271541204725,-0.08370679527125159,0.06343735019055556,-0.02092477734360984,0.24942087489139902,0.01649856104907023,-0.40035271848105924]",d9daf893f8dce6bfd96627ccc08baa79416911cda02beab568adffec257a2250,False,True,fox_gate/logits_ref_fp64_cpu
0.0,0.0,4.002523899078369,-0.04365961626172066,"[-0.05204698147697186,-0.029884863758890958,-0.04599226100345978,-0.0413707161445869,-0.04397901868885331,-0.03601206348351598,-0.042808245310256,-0.05707665222169802]",764c8690967f74556f6c1a12bebdfd7732e18318b82d16b563c97df686e83950,True,1,0,0,4.002523899078369,-0.04365961626172066,"[-0.05204698147697186,-0.029884863758890958,-0.04599226100345978,-0.0413707161445869,-0.04397901868885331,-0.03601206348351599,-0.042808245310256,-0.05707665222169803]",b13958988a1cd5ae25f07dcdd40c064b61a26f32c47f5e563c7abb740cfe5371,False,True,fox_gate/logf_ref_fp64_cpu
0.0,3.725290298461914e-09,4.002522945404053,-0.043659619987010956,"[-0.052046999335289,-0.029884999617934227,-0.04599199816584587,-0.041370999068021774,-0.04397900030016899,-0.03601200133562088,-0.04280799999833107,-0.05707699805498123]",e267ce78b7c8a499f65ccf247e453d60023d9b308fb76cd32b7a8884b8a1e1d4,True,1,0,0,4.002522945404053,-0.04365961626172066,"[-0.052046999335289,-0.029884999617934227,-0.04599199816584587,-0.041370999068021774,-0.04397900030016899,-0.03601200133562088,-0.04280799999833107,-0.05707699805498123]",52aa775c41af9cf1e47d60ebc54b4b6c42f0a001488c127a8f84565c31a06237,False,True,state_build/logf_all
0.0,5.820766091346741e-11,5.067149639129639,0.0009069810039363801,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",a00494a89c6aa2c2771a38c6dec71a62e1956ab60b5826d3d589bdd0f682c9e1,True,1,0,0,5.067149639129639,0.0009069810621440411,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",100ed638b76d37fd6b19d655609f39b41e7c08a1ed2142aafc104aff08d85316,False,True,state_build/G_state
1.9073486328125e-06,0.0,25.248516082763672,0.13812081515789032,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",3db3f43d49bd273bdb8d9292db349f1c4d2a83b88cb5943c5252471be9d27514,True,1,0,0,25.248517990112305,0.13812081515789032,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",cc5a40f082b956a3ca14531a65ffa66c7d143d0e2271db4bdfa98daef13c37a4,False,True,state_build/L_state
0.0,9.094947017729282e-13,6.691649436950684,5.044793397246394e-06,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",b8e349556d4df75c9c3ba9d962fdaed649242f649f951eb9743b31fdccc0f289,True,1,0,0,6.691649436950684,5.044794306741096e-06,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",06a6764afdd7b1e86964c842c03d49445101e9392d3242830f7f945f1b8981d2,False,True,state_build/M_state
0.0,0.0,90.5096664428711,0.5,"[1,0,1,0,1,0,1,0]",dc11edbaeecd85c2e2c82456db4232b7ddbbdfd7d6481b97eca720a60ac56f7c,True,1,0,0,90.5096664428711,0.5,"[1,0,1,0,1,0,1,0]",dc11edbaeecd85c2e2c82456db4232b7ddbbdfd7d6481b97eca720a60ac56f7c,True,True,phase2_read/top_idx
