abs_l2_norm_gap,abs_mean_gap,candidate_l2_norm,candidate_mean,candidate_sample,candidate_sha256,dtype_match,layer_idx,micro_step,optimizer_step,ref_l2_norm,ref_mean,ref_sample,ref_sha256,sha256_match,shape_match,trace_name
0.0,1.964508555829525e-10,724.0740356445312,-4.802132025361061e-10,"[0.02532190829515457,0.15918952226638794,-0.7185203433036804,-0.155963733792305,-0.5711404085159302,-0.2691114842891693,-0.22938433289527893,-2.4623677730560303]",ce513891fb8efa13a41de32d8fb8fdc9f7269a8f28bad19d2fd3d9b34ee59a13,True,1,0,0,724.0740356445312,-2.837623469531536e-10,"[0.02532190829515457,0.15918952226638794,-0.7185203433036804,-0.155963733792305,-0.5711404085159302,-0.2691114842891693,-0.22938433289527893,-2.4623677730560303]",ce513891fb8efa13a41de32d8fb8fdc9f7269a8f28bad19d2fd3d9b34ee59a13,True,True,fox_gate/input_x
0.0,2.3283064365386963e-10,20.328201293945312,0.00172038609161973,"[-0.2620857357978821,0.4892271161079407,-0.0837068185210228,0.06343735009431839,-0.02092479169368744,0.2494209110736847,0.01649858057498932,-0.40035274624824524]",be0245b0061825d2b513a21e0137351a8507f430eee14bdd9ac05a53ef302a18,True,1,0,0,20.328201293945312,0.0017203858587890863,"[-0.2620856761932373,0.48922717571258545,-0.083706796169281,0.06343737244606018,-0.020924754440784454,0.2494209110736847,0.016498565673828125,-0.4003526270389557]",1e06fe0ae90f69c777ede6c8ecc8174b8f99a55c59b9b3f13c31fb7c93c3deb7,False,True,fox_gate/logits_cuda
0.0,0.0,4.002523899078369,-0.04365961626172066,"[-0.05204698070883751,-0.02988486737012863,-0.04599225893616676,-0.04137071594595909,-0.04397901892662048,-0.036012064665555954,-0.04280824586749077,-0.05707665532827377]",dceaec5c4111d88a580fc8425d7618b87f122679f07cfec4bf3151edaf2e8139,True,1,0,0,4.002523899078369,-0.04365961626172066,"[-0.05204698070883751,-0.029884863644838333,-0.04599225893616676,-0.04137071594595909,-0.043979015201330185,-0.036012064665555954,-0.04280824586749077,-0.057076647877693176]",476c88d729d9555ba6a7c8401c79eed44a91fe0a5e52a7fbee01245d16a52b10,False,True,fox_gate/logf_cuda
0.0,0.0,20.328201293945312,0.0017203855095431209,"[-0.26208573652702566,0.48922715412047246,-0.08370679527125154,0.06343735019055553,-0.020924777343609854,0.24942087489139905,0.016498561049070215,-0.40035271848105913]",71b8ae984a3904741eba100b28919d71e5def4b2cd11364596ebfc457f01cfb5,True,1,0,0,20.328201293945312,0.0017203855095431209,"[-0.2620857365270256,0.4892271541204725,-0.08370679527125159,0.06343735019055556,-0.02092477734360984,0.24942087489139902,0.01649856104907023,-0.40035271848105924]",d9daf893f8dce6bfd96627ccc08baa79416911cda02beab568adffec257a2250,False,True,fox_gate/logits_ref_fp64_cpu
0.0,0.0,4.002523899078369,-0.04365961626172066,"[-0.05204698147697186,-0.029884863758890958,-0.04599226100345978,-0.0413707161445869,-0.04397901868885331,-0.03601206348351598,-0.042808245310256,-0.05707665222169802]",764c8690967f74556f6c1a12bebdfd7732e18318b82d16b563c97df686e83950,True,1,0,0,4.002523899078369,-0.04365961626172066,"[-0.05204698147697186,-0.029884863758890958,-0.04599226100345978,-0.0413707161445869,-0.04397901868885331,-0.03601206348351599,-0.042808245310256,-0.05707665222169803]",b13958988a1cd5ae25f07dcdd40c064b61a26f32c47f5e563c7abb740cfe5371,False,True,fox_gate/logf_ref_fp64_cpu
0.0,5.820766091346741e-11,255.99618530273438,0.000671069195959717,"[0.43720102310180664,-0.47418761253356934,-0.12221133708953857,0.2982311248779297,-0.16422449052333832,-0.11781228333711624,-0.49186304211616516,0.034084249287843704]",7eafdaa36e612e280d2fb2c9c3cb62ed9aea8534fcf882e35ef8e3603dbd2ea6,True,1,0,0,255.99618530273438,0.0006710691377520561,"[0.43720102310180664,-0.47418761253356934,-0.12221133708953857,0.2982311248779297,-0.16422449052333832,-0.11781228333711624,-0.49186304211616516,0.034084249287843704]",7eafdaa36e612e280d2fb2c9c3cb62ed9aea8534fcf882e35ef8e3603dbd2ea6,True,True,phase1/q_all
0.0,7.275957614183426e-11,255.9937286376953,5.4685500799678266e-05,"[0.2290818840265274,0.17472465336322784,-0.5262090563774109,-0.33765751123428345,0.7831315994262695,-0.41186249256134033,0.43849584460258484,-0.09059952944517136]",5d37dccf16213c484f5f4dd1816d0b7f343602f7708ddc638d348efe532bf7e6,True,1,0,0,255.9937286376953,5.468557355925441e-05,"[0.2290818840265274,0.17472465336322784,-0.5262090563774109,-0.33765751123428345,0.7831315994262695,-0.41186249256134033,0.43849584460258484,-0.09059952944517136]",5d37dccf16213c484f5f4dd1816d0b7f343602f7708ddc638d348efe532bf7e6,True,True,phase1/k_all
0.0,9.313225746154785e-10,58.87234115600586,0.006445802748203278,"[0.07940109074115753,0.039708636701107025,-0.07384831458330154,-0.08339323848485947,-0.009571666829288006,-0.07319962978363037,0.1329384446144104,-0.10811452567577362]",007ca34e5ad8d9cf91291651d6f0e4cb8f051c8b6efbfd77574608e653aa5960,True,1,0,0,58.87234115600586,0.006445801816880703,"[0.07940109074115753,0.039708636701107025,-0.07384831458330154,-0.08339323848485947,-0.009571666829288006,-0.07319962978363037,0.1329384446144104,-0.10811452567577362]",007ca34e5ad8d9cf91291651d6f0e4cb8f051c8b6efbfd77574608e653aa5960,True,True,phase1/v_all
0.0,5.820766091346741e-11,163.77285766601562,0.0007309167995117605,"[-0.3866400122642517,-0.0003336060617584735,0.274516761302948,-0.06162302941083908,0.05467773601412773,0.021006522700190544,0.17238442599773407,-0.25864097476005554]",871dddddc039c8c8c5fcbe118831b433f6f476e7037558ec8cb9b4669bbeaa8b,True,1,0,0,163.77285766601562,0.0007309167413040996,"[-0.3866400122642517,-0.0003336060617584735,0.274516761302948,-0.06162302941083908,0.05467773601412773,0.021006522700190544,0.17238442599773407,-0.25864097476005554]",871dddddc039c8c8c5fcbe118831b433f6f476e7037558ec8cb9b4669bbeaa8b,True,True,phase1/g_raw_all
0.0,1.1641532182693481e-10,40.955135345458984,0.0017296953592449427,"[0.0371975377202034,-0.040959183126688004,-0.0022900900803506374,0.04461415484547615,0.09493521600961685,-0.06041162461042404,-0.04216456413269043,-0.09387834370136261]",61d4693e36a3721d9b9a2f91ec445e428e18253ea13183d165e403501a2de674,True,1,0,0,40.955135345458984,0.0017296954756602645,"[0.0371975377202034,-0.040959183126688004,-0.0022900900803506374,0.04461415484547615,0.09493521600961685,-0.06041162461042404,-0.04216456413269043,-0.09387834370136261]",61d4693e36a3721d9b9a2f91ec445e428e18253ea13183d165e403501a2de674,True,True,phase1/K_q_all
