config,run_id,source,comparison_scope,gpu,seed,data_seed,num_heads,expand_v,batch_accum_profile,dtype_policy,actual_kernel_dtype,validation_index,validation_phase,approx_epoch,raw_epoch_index,slice_group,slice,metric,value
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,4,epoch_end,2.0,1,input_seq_len,256,valid/input_seq_len/accuracy-256,0.99996875
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,5,mid_epoch,2.5,2,input_seq_len,256,valid/input_seq_len/accuracy-256,0.999953125
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,6,epoch_end,3.0,2,input_seq_len,256,valid/input_seq_len/accuracy-256,0.999984375
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,7,mid_epoch,3.5,3,input_seq_len,256,valid/input_seq_len/accuracy-256,1.0
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,8,epoch_end,4.0,3,input_seq_len,256,valid/input_seq_len/accuracy-256,1.0
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,1,mid_epoch,0.5,0,input_seq_len,512,valid/input_seq_len/accuracy-512,0.912984375
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,2,epoch_end,1.0,0,input_seq_len,512,valid/input_seq_len/accuracy-512,0.99077734375
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,3,mid_epoch,1.5,1,input_seq_len,512,valid/input_seq_len/accuracy-512,0.99445703125
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,4,epoch_end,2.0,1,input_seq_len,512,valid/input_seq_len/accuracy-512,0.99674609375
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,5,mid_epoch,2.5,2,input_seq_len,512,valid/input_seq_len/accuracy-512,0.99696484375
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,6,epoch_end,3.0,2,input_seq_len,512,valid/input_seq_len/accuracy-512,0.99757421875
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,7,mid_epoch,3.5,3,input_seq_len,512,valid/input_seq_len/accuracy-512,0.99766015625
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,8,epoch_end,4.0,3,input_seq_len,512,valid/input_seq_len/accuracy-512,0.9978671875
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,1,mid_epoch,0.5,0,input_seq_len,64,valid/input_seq_len/accuracy-64,0.9999166666666667
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,2,epoch_end,1.0,0,input_seq_len,64,valid/input_seq_len/accuracy-64,1.0
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,3,mid_epoch,1.5,1,input_seq_len,64,valid/input_seq_len/accuracy-64,1.0
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,4,epoch_end,2.0,1,input_seq_len,64,valid/input_seq_len/accuracy-64,1.0
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,5,mid_epoch,2.5,2,input_seq_len,64,valid/input_seq_len/accuracy-64,1.0
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,6,epoch_end,3.0,2,input_seq_len,64,valid/input_seq_len/accuracy-64,1.0
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,7,mid_epoch,3.5,3,input_seq_len,64,valid/input_seq_len/accuracy-64,1.0
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,8,epoch_end,4.0,3,input_seq_len,64,valid/input_seq_len/accuracy-64,1.0
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,1,mid_epoch,0.5,0,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.3713515625
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,2,epoch_end,1.0,0,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.7116875
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,3,mid_epoch,1.5,1,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.7539453125
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,4,epoch_end,2.0,1,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.8030625
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,5,mid_epoch,2.5,2,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.80282421875
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,6,epoch_end,3.0,2,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.823796875
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,7,mid_epoch,3.5,3,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.821828125
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,8,epoch_end,4.0,3,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.83156640625
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,1,mid_epoch,0.5,0,mqar_case,128x32,valid/mqar_case/accuracy-128x32,0.9995625
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,2,epoch_end,1.0,0,mqar_case,128x32,valid/mqar_case/accuracy-128x32,1.0
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,3,mid_epoch,1.5,1,mqar_case,128x32,valid/mqar_case/accuracy-128x32,1.0
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,4,epoch_end,2.0,1,mqar_case,128x32,valid/mqar_case/accuracy-128x32,1.0
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,5,mid_epoch,2.5,2,mqar_case,128x32,valid/mqar_case/accuracy-128x32,1.0
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,6,epoch_end,3.0,2,mqar_case,128x32,valid/mqar_case/accuracy-128x32,1.0
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,7,mid_epoch,3.5,3,mqar_case,128x32,valid/mqar_case/accuracy-128x32,1.0
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,8,epoch_end,4.0,3,mqar_case,128x32,valid/mqar_case/accuracy-128x32,1.0
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,1,mid_epoch,0.5,0,mqar_case,256x64,valid/mqar_case/accuracy-256x64,0.99134375
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,2,epoch_end,1.0,0,mqar_case,256x64,valid/mqar_case/accuracy-256x64,0.99971875
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,3,mid_epoch,1.5,1,mqar_case,256x64,valid/mqar_case/accuracy-256x64,0.999859375
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,4,epoch_end,2.0,1,mqar_case,256x64,valid/mqar_case/accuracy-256x64,0.99996875
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,5,mid_epoch,2.5,2,mqar_case,256x64,valid/mqar_case/accuracy-256x64,0.999953125
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,6,epoch_end,3.0,2,mqar_case,256x64,valid/mqar_case/accuracy-256x64,0.999984375
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,7,mid_epoch,3.5,3,mqar_case,256x64,valid/mqar_case/accuracy-256x64,1.0
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,8,epoch_end,4.0,3,mqar_case,256x64,valid/mqar_case/accuracy-256x64,1.0
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,1,mid_epoch,0.5,0,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.83821875
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,2,epoch_end,1.0,0,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.9823984375
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,3,mid_epoch,1.5,1,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.9894453125
gdn-h2-ev8-usegate0-s126-d123,gdn-h2-ev8-s126-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_capacity_layout_followup,b64_ga4_fp32_official_gdn,0,126,123,2,8,b64_ga4,float32,float32,4,epoch_end,2.0,1,mqar_case,512x128,valid/mqar_case/accuracy-512x128,0.9939296875
