config,run_id,source,comparison_scope,gpu,seed,data_seed,num_heads,expand_v,batch_accum_profile,dtype_policy,actual_kernel_dtype,validation_index,validation_phase,approx_epoch,raw_epoch_index,slice_group,slice,metric,value
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,1,mid_epoch,0.5,0,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.484265625
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,2,epoch_end,1.0,0,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.73416015625
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,3,mid_epoch,1.5,1,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.77578125
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,4,epoch_end,2.0,1,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.80915234375
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,5,mid_epoch,2.5,2,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.81613671875
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,6,epoch_end,3.0,2,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.83619140625
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,7,mid_epoch,3.5,3,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.83297265625
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,8,epoch_end,4.0,3,input_seq_len,1024,valid/input_seq_len/accuracy-1024,0.83710546875
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,1,mid_epoch,0.5,0,input_seq_len,128,valid/input_seq_len/accuracy-128,0.99996875
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,2,epoch_end,1.0,0,input_seq_len,128,valid/input_seq_len/accuracy-128,1.0
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,3,mid_epoch,1.5,1,input_seq_len,128,valid/input_seq_len/accuracy-128,1.0
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,4,epoch_end,2.0,1,input_seq_len,128,valid/input_seq_len/accuracy-128,1.0
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,5,mid_epoch,2.5,2,input_seq_len,128,valid/input_seq_len/accuracy-128,1.0
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,6,epoch_end,3.0,2,input_seq_len,128,valid/input_seq_len/accuracy-128,1.0
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,7,mid_epoch,3.5,3,input_seq_len,128,valid/input_seq_len/accuracy-128,1.0
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,8,epoch_end,4.0,3,input_seq_len,128,valid/input_seq_len/accuracy-128,1.0
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,1,mid_epoch,0.5,0,input_seq_len,256,valid/input_seq_len/accuracy-256,0.998625
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,2,epoch_end,1.0,0,input_seq_len,256,valid/input_seq_len/accuracy-256,0.999921875
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,3,mid_epoch,1.5,1,input_seq_len,256,valid/input_seq_len/accuracy-256,0.999921875
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,4,epoch_end,2.0,1,input_seq_len,256,valid/input_seq_len/accuracy-256,0.99996875
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,5,mid_epoch,2.5,2,input_seq_len,256,valid/input_seq_len/accuracy-256,0.999984375
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,6,epoch_end,3.0,2,input_seq_len,256,valid/input_seq_len/accuracy-256,0.999984375
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,7,mid_epoch,3.5,3,input_seq_len,256,valid/input_seq_len/accuracy-256,0.999984375
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,8,epoch_end,4.0,3,input_seq_len,256,valid/input_seq_len/accuracy-256,0.999984375
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,1,mid_epoch,0.5,0,input_seq_len,512,valid/input_seq_len/accuracy-512,0.9600703125
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,2,epoch_end,1.0,0,input_seq_len,512,valid/input_seq_len/accuracy-512,0.9950234375
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,3,mid_epoch,1.5,1,input_seq_len,512,valid/input_seq_len/accuracy-512,0.9970546875
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,4,epoch_end,2.0,1,input_seq_len,512,valid/input_seq_len/accuracy-512,0.998046875
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,5,mid_epoch,2.5,2,input_seq_len,512,valid/input_seq_len/accuracy-512,0.9983046875
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,6,epoch_end,3.0,2,input_seq_len,512,valid/input_seq_len/accuracy-512,0.998703125
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,7,mid_epoch,3.5,3,input_seq_len,512,valid/input_seq_len/accuracy-512,0.9987421875
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,8,epoch_end,4.0,3,input_seq_len,512,valid/input_seq_len/accuracy-512,0.9988203125
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,1,mid_epoch,0.5,0,input_seq_len,64,valid/input_seq_len/accuracy-64,0.9999583333333333
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,2,epoch_end,1.0,0,input_seq_len,64,valid/input_seq_len/accuracy-64,0.9999583333333333
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,3,mid_epoch,1.5,1,input_seq_len,64,valid/input_seq_len/accuracy-64,0.9999583333333333
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,4,epoch_end,2.0,1,input_seq_len,64,valid/input_seq_len/accuracy-64,1.0
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,5,mid_epoch,2.5,2,input_seq_len,64,valid/input_seq_len/accuracy-64,1.0
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,6,epoch_end,3.0,2,input_seq_len,64,valid/input_seq_len/accuracy-64,1.0
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,7,mid_epoch,3.5,3,input_seq_len,64,valid/input_seq_len/accuracy-64,1.0
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,8,epoch_end,4.0,3,input_seq_len,64,valid/input_seq_len/accuracy-64,1.0
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,1,mid_epoch,0.5,0,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.484265625
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,2,epoch_end,1.0,0,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.73416015625
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,3,mid_epoch,1.5,1,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.77578125
gdn-h2-ev10-usegate0-s124-d123,gdn-h2-ev10-s124-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,0,124,123,2,10,b64_ga4,float32,float32,4,epoch_end,2.0,1,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.80915234375
