target,num_codebook_vectors,gd_rank,read_topk,model_seed,machine,gpu,launch_id,run_id,status,started_at_utc,ended_at_utc,manifest_path,launch_config_path,train_config_json,log_path,swanlab_run_url,swanlab_logdir,command,cwd,hostname,python,executable,os_pretty_name,git_branch,git_commit,git_remote,gpu_driver,cuda,data_seed,max_epochs,validations_per_epoch,gradient_accumulation_steps,read_churn_probe_enabled,read_churn_probe_valid_batches,read_churn_probe_max_samples,read_churn_probe_query_only,summary_fox_remote_read_topk,summary_fox_gd_residual_rank,summary_codebook_init_seed,mixer_fox_remote_formula,mixer_vq_score_mode,mixer_vq_weight_mode,mixer_vq_update_mode,log_error_count,log_size_bytes,checkpoint_kind,checkpoint_path,checkpoint_exists,checkpoint_epoch,checkpoint_size_bytes,valid__accuracy,valid__loss,valid__mqar_case__accuracy_1024x256,valid__attn__gd_residual_read_candidate_probe_count,valid__attn__gd_residual_read_candidate_has_prev,valid__attn__gd_residual_read_candidate_retention_mean,valid__attn__gd_residual_read_candidate_churn_mean,valid__attn__gd_residual_read_candidate_top1_flip_rate,valid__attn__gd_residual_read_margin_top1_top2_mean,valid__attn__gd_residual_read_margin_top1_top2_p05,valid__attn__gd_residual_read_entropy_mean,valid__attn__gd_residual_read_selected_mass_mean,valid__attn__gd_residual_read_selected_mass_p05,valid__attn__gd_residual_remote_read_topk_effective,valid__attn__gd_residual_inject_ratio,valid__attn__gd_residual_lambda_mean,valid__attn__gd_residual_write_strength_mean,valid__attn__gd_residual_write_strength_max,valid__attn__gd_residual_write_strength_p95,valid__attn__gd_residual_sum_zeta_mean,valid__attn__gd_residual_sum_zeta_max,valid__attn__gd_residual_sum_zeta_p95,valid__attn__gd_residual_m_norm_mean,valid__attn__gd_residual_m_norm_max,valid__attn__gd_residual_beta_mean,valid__attn__gd_residual_beta_max
cb128r8-readk4-s125-churn,128,8,4,125,mclab-3090,NVIDIA GeForce RTX 3090,flash-vqg-20260622-04-churn-cb128r8-readk4-s125-churn-2026-06-22-10-36-11,flash_vqg_h2_torch-block32-dmodel128-cb128-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top4-seed125-tbs64-ebs16-ga4-vpe4,completed,2026-06-22T10:36:18.667628+00:00,2026-06-22T13:59:45.852254+00:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb128r8-readk4-s125-churn-2026-06-22-10-36-11/manifest.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb128r8-readk4-s125-churn-2026-06-22-10-36-11/launch_configs.py,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260622-04-churn-cb128r8-readk4-s125-churn-2026-06-22-10-36-11/flash_vqg_h2_torch-block32-dmodel128-cb128-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top4-seed125-tbs64-ebs16-ga4-vpe4/train_config.json,zoology/experiments/flash_vqg/scripts/20260622-04-flash-vqg-read-candidate-churn-probe/outputs/logs/20260622T103609Z/cb128r8-readk4-s125-churn.log,https://swanlab.cn/@scu-mclab/flash_vqg_read_candidate_churn_probe/runs/ilrq11r14ht7y3nubempy,/home/lyj/mnt/project/zoology/swanlog/run-20260622_103615-ilrq11r14ht7y3nubempy,/home/lyj/mnt/project/zoology/zoology/launch.py /home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb128r8-readk4-s125-churn-2026-06-22-10-36-11/launch_configs.py --launch-id flash-vqg-20260622-04-churn-cb128r8-readk4-s125-churn-2026-06-22-10-36-11 --gpus 0,/home/lyj/mnt/project/zoology,7d6ec1f32f23,3.12.11,/home/lyj/miniconda3/envs/flash-vqg/bin/python,Ubuntu 22.04.3 LTS,flash-vqg,1dcd70acc631d395aadb6874d58d952f1b6ddbab,https://github.com/BankBro/zoology,580.159.03,11.8,123,4,4,4,True,[0],16,True,4,8,,gd_residual_v1,codebook_dot,dense_softmax,grad,0,2303765,best,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260622-04-churn-cb128r8-readk4-s125-churn-2026-06-22-10-36-11/flash_vqg_h2_torch-block32-dmodel128-cb128-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top4-seed125-tbs64-ebs16-ga4-vpe4/best.pt,True,3,8885381,0.9929580078125,0.07453851401805878,0.964484375,128.0,1.0,1.0,0.0,0.0,0.7373604457529764,0.0,0.9956954495301322,0.325757728386966,0.0,4.0,0.08619664090552501,0.34750470087405233,0.00889983928174756,0.12017095817755612,0.06299634539477882,0.03559935699024844,0.2657693535207756,0.19779668298978653,0.03495164924035115,9.533614329875462,0.03559935707155438,0.2657693529885913
cb128r8-readk4-s125-churn,128,8,4,125,mclab-3090,NVIDIA GeForce RTX 3090,flash-vqg-20260622-04-churn-cb128r8-readk4-s125-churn-2026-06-22-10-36-11,flash_vqg_h2_torch-block32-dmodel128-cb128-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top4-seed125-tbs64-ebs16-ga4-vpe4,completed,2026-06-22T10:36:18.667628+00:00,2026-06-22T13:59:45.852254+00:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb128r8-readk4-s125-churn-2026-06-22-10-36-11/manifest.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb128r8-readk4-s125-churn-2026-06-22-10-36-11/launch_configs.py,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260622-04-churn-cb128r8-readk4-s125-churn-2026-06-22-10-36-11/flash_vqg_h2_torch-block32-dmodel128-cb128-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top4-seed125-tbs64-ebs16-ga4-vpe4/train_config.json,zoology/experiments/flash_vqg/scripts/20260622-04-flash-vqg-read-candidate-churn-probe/outputs/logs/20260622T103609Z/cb128r8-readk4-s125-churn.log,https://swanlab.cn/@scu-mclab/flash_vqg_read_candidate_churn_probe/runs/ilrq11r14ht7y3nubempy,/home/lyj/mnt/project/zoology/swanlog/run-20260622_103615-ilrq11r14ht7y3nubempy,/home/lyj/mnt/project/zoology/zoology/launch.py /home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb128r8-readk4-s125-churn-2026-06-22-10-36-11/launch_configs.py --launch-id flash-vqg-20260622-04-churn-cb128r8-readk4-s125-churn-2026-06-22-10-36-11 --gpus 0,/home/lyj/mnt/project/zoology,7d6ec1f32f23,3.12.11,/home/lyj/miniconda3/envs/flash-vqg/bin/python,Ubuntu 22.04.3 LTS,flash-vqg,1dcd70acc631d395aadb6874d58d952f1b6ddbab,https://github.com/BankBro/zoology,580.159.03,11.8,123,4,4,4,True,[0],16,True,4,8,,gd_residual_v1,codebook_dot,dense_softmax,grad,0,2303765,final,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260622-04-churn-cb128r8-readk4-s125-churn-2026-06-22-10-36-11/flash_vqg_h2_torch-block32-dmodel128-cb128-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top4-seed125-tbs64-ebs16-ga4-vpe4/last.pt,True,3,8885381,0.9929580078125,0.07453851401805878,0.964484375,128.0,1.0,1.0,0.0,0.0,0.7373604457529764,0.0,0.9956954495301322,0.325757728386966,0.0,4.0,0.08619664090552501,0.34750470087405233,0.00889983928174756,0.12017095817755612,0.06299634539477882,0.03559935699024844,0.2657693535207756,0.19779668298978653,0.03495164924035115,9.533614329875462,0.03559935707155438,0.2657693529885913
cb256r8-readk2-s123-churn,256,8,2,123,mclab-3090,NVIDIA GeForce RTX 3090,flash-vqg-20260622-04-churn-cb256r8-readk2-s123-churn-2026-06-22-10-36-11,flash_vqg_h2_torch-block32-dmodel128-cb256-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top2-seed123-tbs64-ebs16-ga4-vpe4,completed,2026-06-22T10:36:18.613766+00:00,2026-06-22T15:07:56.740577+00:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb256r8-readk2-s123-churn-2026-06-22-10-36-11/manifest.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb256r8-readk2-s123-churn-2026-06-22-10-36-11/launch_configs.py,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260622-04-churn-cb256r8-readk2-s123-churn-2026-06-22-10-36-11/flash_vqg_h2_torch-block32-dmodel128-cb256-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top2-seed123-tbs64-ebs16-ga4-vpe4/train_config.json,zoology/experiments/flash_vqg/scripts/20260622-04-flash-vqg-read-candidate-churn-probe/outputs/logs/20260622T103609Z/cb256r8-readk2-s123-churn.log,https://swanlab.cn/@scu-mclab/flash_vqg_read_candidate_churn_probe/runs/ak9ftk8f9o23lxbndo6lv,/home/lyj/mnt/project/zoology/swanlog/run-20260622_103615-ak9ftk8f9o23lxbndo6lv,/home/lyj/mnt/project/zoology/zoology/launch.py /home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb256r8-readk2-s123-churn-2026-06-22-10-36-11/launch_configs.py --launch-id flash-vqg-20260622-04-churn-cb256r8-readk2-s123-churn-2026-06-22-10-36-11 --gpus 0,/home/lyj/mnt/project/zoology,7d6ec1f32f23,3.12.11,/home/lyj/miniconda3/envs/flash-vqg/bin/python,Ubuntu 22.04.3 LTS,flash-vqg,1dcd70acc631d395aadb6874d58d952f1b6ddbab,https://github.com/BankBro/zoology,580.159.03,11.8,123,4,4,4,True,[0],16,True,2,8,,gd_residual_v1,codebook_dot,dense_softmax,grad,0,2330646,best,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260622-04-churn-cb256r8-readk2-s123-churn-2026-06-22-10-36-11/flash_vqg_h2_torch-block32-dmodel128-cb256-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top2-seed123-tbs64-ebs16-ga4-vpe4/best.pt,True,3,8950917,0.99657373046875,0.0396672859787941,0.98790234375,128.0,1.0,1.0,0.0,0.0,0.72491155304606,0.0,1.11881731758042,0.2773445198341968,0.0,2.0,0.15251384072360538,0.2549271090990967,0.014824002308564054,0.10520523329753251,0.05245627595910004,0.059296009419042436,0.24481086554153572,0.2027879718631979,0.012560772002741163,1.767192618477912,0.05929600924903911,0.24481086533457513
cb256r8-readk2-s123-churn,256,8,2,123,mclab-3090,NVIDIA GeForce RTX 3090,flash-vqg-20260622-04-churn-cb256r8-readk2-s123-churn-2026-06-22-10-36-11,flash_vqg_h2_torch-block32-dmodel128-cb256-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top2-seed123-tbs64-ebs16-ga4-vpe4,completed,2026-06-22T10:36:18.613766+00:00,2026-06-22T15:07:56.740577+00:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb256r8-readk2-s123-churn-2026-06-22-10-36-11/manifest.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb256r8-readk2-s123-churn-2026-06-22-10-36-11/launch_configs.py,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260622-04-churn-cb256r8-readk2-s123-churn-2026-06-22-10-36-11/flash_vqg_h2_torch-block32-dmodel128-cb256-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top2-seed123-tbs64-ebs16-ga4-vpe4/train_config.json,zoology/experiments/flash_vqg/scripts/20260622-04-flash-vqg-read-candidate-churn-probe/outputs/logs/20260622T103609Z/cb256r8-readk2-s123-churn.log,https://swanlab.cn/@scu-mclab/flash_vqg_read_candidate_churn_probe/runs/ak9ftk8f9o23lxbndo6lv,/home/lyj/mnt/project/zoology/swanlog/run-20260622_103615-ak9ftk8f9o23lxbndo6lv,/home/lyj/mnt/project/zoology/zoology/launch.py /home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb256r8-readk2-s123-churn-2026-06-22-10-36-11/launch_configs.py --launch-id flash-vqg-20260622-04-churn-cb256r8-readk2-s123-churn-2026-06-22-10-36-11 --gpus 0,/home/lyj/mnt/project/zoology,7d6ec1f32f23,3.12.11,/home/lyj/miniconda3/envs/flash-vqg/bin/python,Ubuntu 22.04.3 LTS,flash-vqg,1dcd70acc631d395aadb6874d58d952f1b6ddbab,https://github.com/BankBro/zoology,580.159.03,11.8,123,4,4,4,True,[0],16,True,2,8,,gd_residual_v1,codebook_dot,dense_softmax,grad,0,2330646,final,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260622-04-churn-cb256r8-readk2-s123-churn-2026-06-22-10-36-11/flash_vqg_h2_torch-block32-dmodel128-cb256-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top2-seed123-tbs64-ebs16-ga4-vpe4/last.pt,True,3,8950917,0.99657373046875,0.0396672859787941,0.98790234375,128.0,1.0,1.0,0.0,0.0,0.72491155304606,0.0,1.11881731758042,0.2773445198341968,0.0,2.0,0.15251384072360538,0.2549271090990967,0.014824002308564054,0.10520523329753251,0.05245627595910004,0.059296009419042436,0.24481086554153572,0.2027879718631979,0.012560772002741163,1.767192618477912,0.05929600924903911,0.24481086533457513
cb256r8-readk4-s123-churn,256,8,4,123,mclab-3090,NVIDIA GeForce RTX 3090,flash-vqg-20260622-04-churn-cb256r8-readk4-s123-churn-2026-06-22-10-36-11,flash_vqg_h2_torch-block32-dmodel128-cb256-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top4-seed123-tbs64-ebs16-ga4-vpe4,completed,2026-06-22T10:36:18.599602+00:00,2026-06-22T13:25:54.059060+00:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb256r8-readk4-s123-churn-2026-06-22-10-36-11/manifest.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb256r8-readk4-s123-churn-2026-06-22-10-36-11/launch_configs.py,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260622-04-churn-cb256r8-readk4-s123-churn-2026-06-22-10-36-11/flash_vqg_h2_torch-block32-dmodel128-cb256-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top4-seed123-tbs64-ebs16-ga4-vpe4/train_config.json,zoology/experiments/flash_vqg/scripts/20260622-04-flash-vqg-read-candidate-churn-probe/outputs/logs/20260622T103609Z/cb256r8-readk4-s123-churn.log,https://swanlab.cn/@scu-mclab/flash_vqg_read_candidate_churn_probe/runs/ipjl6utf5tncstg2ke90q,/home/lyj/mnt/project/zoology/swanlog/run-20260622_103615-ipjl6utf5tncstg2ke90q,/home/lyj/mnt/project/zoology/zoology/launch.py /home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb256r8-readk4-s123-churn-2026-06-22-10-36-11/launch_configs.py --launch-id flash-vqg-20260622-04-churn-cb256r8-readk4-s123-churn-2026-06-22-10-36-11 --gpus 0,/home/lyj/mnt/project/zoology,7d6ec1f32f23,3.12.11,/home/lyj/miniconda3/envs/flash-vqg/bin/python,Ubuntu 22.04.3 LTS,flash-vqg,1dcd70acc631d395aadb6874d58d952f1b6ddbab,https://github.com/BankBro/zoology,580.159.03,11.8,123,4,4,4,True,[0],16,True,4,8,,gd_residual_v1,codebook_dot,dense_softmax,grad,0,2248531,best,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260622-04-churn-cb256r8-readk4-s123-churn-2026-06-22-10-36-11/flash_vqg_h2_torch-block32-dmodel128-cb256-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top4-seed123-tbs64-ebs16-ga4-vpe4/best.pt,True,3,8950917,0.9970400390625,0.04518695920705795,0.9871171875,128.0,1.0,1.0,0.0,0.0,0.8844124270336968,0.0,1.4448907410814649,0.22317397071137315,0.0,4.0,0.27413829179510235,0.34934376925230026,0.0030968802614277967,0.02384891656656114,0.011684399264465486,0.01238752108082057,0.04395421699339908,0.03630126776203277,0.005800418617177961,1.6297882688896996,0.012387521077124845,0.04395421702296488
cb256r8-readk4-s123-churn,256,8,4,123,mclab-3090,NVIDIA GeForce RTX 3090,flash-vqg-20260622-04-churn-cb256r8-readk4-s123-churn-2026-06-22-10-36-11,flash_vqg_h2_torch-block32-dmodel128-cb256-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top4-seed123-tbs64-ebs16-ga4-vpe4,completed,2026-06-22T10:36:18.599602+00:00,2026-06-22T13:25:54.059060+00:00,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb256r8-readk4-s123-churn-2026-06-22-10-36-11/manifest.json,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb256r8-readk4-s123-churn-2026-06-22-10-36-11/launch_configs.py,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260622-04-churn-cb256r8-readk4-s123-churn-2026-06-22-10-36-11/flash_vqg_h2_torch-block32-dmodel128-cb256-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top4-seed123-tbs64-ebs16-ga4-vpe4/train_config.json,zoology/experiments/flash_vqg/scripts/20260622-04-flash-vqg-read-candidate-churn-probe/outputs/logs/20260622T103609Z/cb256r8-readk4-s123-churn.log,https://swanlab.cn/@scu-mclab/flash_vqg_read_candidate_churn_probe/runs/ipjl6utf5tncstg2ke90q,/home/lyj/mnt/project/zoology/swanlog/run-20260622_103615-ipjl6utf5tncstg2ke90q,/home/lyj/mnt/project/zoology/zoology/launch.py /home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/generated/flash-vqg-20260622-04-churn-cb256r8-readk4-s123-churn-2026-06-22-10-36-11/launch_configs.py --launch-id flash-vqg-20260622-04-churn-cb256r8-readk4-s123-churn-2026-06-22-10-36-11 --gpus 0,/home/lyj/mnt/project/zoology,7d6ec1f32f23,3.12.11,/home/lyj/miniconda3/envs/flash-vqg/bin/python,Ubuntu 22.04.3 LTS,flash-vqg,1dcd70acc631d395aadb6874d58d952f1b6ddbab,https://github.com/BankBro/zoology,580.159.03,11.8,123,4,4,4,True,[0],16,True,4,8,,gd_residual_v1,codebook_dot,dense_softmax,grad,0,2248531,final,/home/lyj/mnt/project/zoology/checkpoints/flash-vqg-20260622-04-churn-cb256r8-readk4-s123-churn-2026-06-22-10-36-11/flash_vqg_h2_torch-block32-dmodel128-cb256-lr1.0e-03-local2-remote1-sampler-gshuffle-rformula-gdr1-r8-wk4-gctref-semivec-rwrite-additive-global-wk4-rread-top4-seed123-tbs64-ebs16-ga4-vpe4/last.pt,True,3,8950917,0.9970400390625,0.04518695920705795,0.9871171875,128.0,1.0,1.0,0.0,0.0,0.8844124270336968,0.0,1.4448907410814649,0.22317397071137315,0.0,4.0,0.27413829179510235,0.34934376925230026,0.0030968802614277967,0.02384891656656114,0.011684399264465486,0.01238752108082057,0.04395421699339908,0.03630126776203277,0.005800418617177961,1.6297882688896996,0.012387521077124845,0.04395421702296488
