config,run_id,model_family,source,run_type,gpu,status,train_batch_size,eval_batch_size,gradient_accumulation_steps,effective_train_batch_size,batch_accum_profile,configured_max_epochs,final_epoch,validations_per_epoch,final_validation_index,final_validation_phase,checkpoint_label,early_stopping_disabled,swanlab_url,swanlab_run_dir,launch_id,elapsed_sec,wall_clock,oom,observed_peak_memory_used_mib,peak_memory_total_mib,gpu_name,gpu_compute_capability,fallback_from_profiles,source_analysis_dir,seed,data_seed,num_codebook_vectors,rank,dynamic_capacity,relative_to_gdn,trainable_params,zoology_state_size_metric_seq1024,dtype_policy,outer_model_dtype,hidden_states_dtype,kernel_input_dtype,dtype_comparison_scope,validation_index,validation_phase,approx_epoch,raw_epoch_index,slice_group,slice,metric,value
cb256-r10-s125-d123,gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,flash,20260519_rank_gdn_capacity_up,rank_or_capacity_up,1,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/qis3cwsjcfv2h9uqx38rc,/home/lyj/mnt/project/zoology/swanlog/run-20260519_055419-qis3cwsjcfv2h9uqx38rc,flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14,7021.956089165062,01:57:02,False,10809,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14/gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,125,123,256,10,327680,20x,1184198,1510912,default_float32_on_2080ti,float32,float32,float32,float32_only,3,mid_epoch,1.5,1,input_seq_len,128,valid/input_seq_len/accuracy-128,0.99809375
cb256-r10-s125-d123,gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,flash,20260519_rank_gdn_capacity_up,rank_or_capacity_up,1,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/qis3cwsjcfv2h9uqx38rc,/home/lyj/mnt/project/zoology/swanlog/run-20260519_055419-qis3cwsjcfv2h9uqx38rc,flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14,7021.956089165062,01:57:02,False,10809,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14/gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,125,123,256,10,327680,20x,1184198,1510912,default_float32_on_2080ti,float32,float32,float32,float32_only,4,epoch_end,2.0,1,input_seq_len,128,valid/input_seq_len/accuracy-128,0.9970625
cb256-r10-s125-d123,gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,flash,20260519_rank_gdn_capacity_up,rank_or_capacity_up,1,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/qis3cwsjcfv2h9uqx38rc,/home/lyj/mnt/project/zoology/swanlog/run-20260519_055419-qis3cwsjcfv2h9uqx38rc,flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14,7021.956089165062,01:57:02,False,10809,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14/gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,125,123,256,10,327680,20x,1184198,1510912,default_float32_on_2080ti,float32,float32,float32,float32_only,5,mid_epoch,2.5,2,input_seq_len,128,valid/input_seq_len/accuracy-128,0.99796875
cb256-r10-s125-d123,gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,flash,20260519_rank_gdn_capacity_up,rank_or_capacity_up,1,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/qis3cwsjcfv2h9uqx38rc,/home/lyj/mnt/project/zoology/swanlog/run-20260519_055419-qis3cwsjcfv2h9uqx38rc,flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14,7021.956089165062,01:57:02,False,10809,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14/gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,125,123,256,10,327680,20x,1184198,1510912,default_float32_on_2080ti,float32,float32,float32,float32_only,6,epoch_end,3.0,2,input_seq_len,128,valid/input_seq_len/accuracy-128,0.9950625
cb256-r10-s125-d123,gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,flash,20260519_rank_gdn_capacity_up,rank_or_capacity_up,1,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/qis3cwsjcfv2h9uqx38rc,/home/lyj/mnt/project/zoology/swanlog/run-20260519_055419-qis3cwsjcfv2h9uqx38rc,flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14,7021.956089165062,01:57:02,False,10809,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14/gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,125,123,256,10,327680,20x,1184198,1510912,default_float32_on_2080ti,float32,float32,float32,float32_only,7,mid_epoch,3.5,3,input_seq_len,128,valid/input_seq_len/accuracy-128,0.99803125
cb256-r10-s125-d123,gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,flash,20260519_rank_gdn_capacity_up,rank_or_capacity_up,1,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/qis3cwsjcfv2h9uqx38rc,/home/lyj/mnt/project/zoology/swanlog/run-20260519_055419-qis3cwsjcfv2h9uqx38rc,flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14,7021.956089165062,01:57:02,False,10809,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14/gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,125,123,256,10,327680,20x,1184198,1510912,default_float32_on_2080ti,float32,float32,float32,float32_only,8,epoch_end,4.0,3,input_seq_len,128,valid/input_seq_len/accuracy-128,0.9985625
cb256-r10-s125-d123,gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,flash,20260519_rank_gdn_capacity_up,rank_or_capacity_up,1,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/qis3cwsjcfv2h9uqx38rc,/home/lyj/mnt/project/zoology/swanlog/run-20260519_055419-qis3cwsjcfv2h9uqx38rc,flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14,7021.956089165062,01:57:02,False,10809,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14/gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,125,123,256,10,327680,20x,1184198,1510912,default_float32_on_2080ti,float32,float32,float32,float32_only,1,mid_epoch,0.5,0,input_seq_len,256,valid/input_seq_len/accuracy-256,0.000328125
cb256-r10-s125-d123,gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,flash,20260519_rank_gdn_capacity_up,rank_or_capacity_up,1,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/qis3cwsjcfv2h9uqx38rc,/home/lyj/mnt/project/zoology/swanlog/run-20260519_055419-qis3cwsjcfv2h9uqx38rc,flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14,7021.956089165062,01:57:02,False,10809,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14/gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,125,123,256,10,327680,20x,1184198,1510912,default_float32_on_2080ti,float32,float32,float32,float32_only,2,epoch_end,1.0,0,input_seq_len,256,valid/input_seq_len/accuracy-256,0.9914375
cb256-r10-s125-d123,gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,flash,20260519_rank_gdn_capacity_up,rank_or_capacity_up,1,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/qis3cwsjcfv2h9uqx38rc,/home/lyj/mnt/project/zoology/swanlog/run-20260519_055419-qis3cwsjcfv2h9uqx38rc,flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14,7021.956089165062,01:57:02,False,10809,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14/gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,125,123,256,10,327680,20x,1184198,1510912,default_float32_on_2080ti,float32,float32,float32,float32_only,3,mid_epoch,1.5,1,input_seq_len,256,valid/input_seq_len/accuracy-256,0.997359375
cb256-r10-s125-d123,gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,flash,20260519_rank_gdn_capacity_up,rank_or_capacity_up,1,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/qis3cwsjcfv2h9uqx38rc,/home/lyj/mnt/project/zoology/swanlog/run-20260519_055419-qis3cwsjcfv2h9uqx38rc,flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14,7021.956089165062,01:57:02,False,10809,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14/gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,125,123,256,10,327680,20x,1184198,1510912,default_float32_on_2080ti,float32,float32,float32,float32_only,4,epoch_end,2.0,1,input_seq_len,256,valid/input_seq_len/accuracy-256,0.995828125
cb256-r10-s125-d123,gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,flash,20260519_rank_gdn_capacity_up,rank_or_capacity_up,1,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/qis3cwsjcfv2h9uqx38rc,/home/lyj/mnt/project/zoology/swanlog/run-20260519_055419-qis3cwsjcfv2h9uqx38rc,flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14,7021.956089165062,01:57:02,False,10809,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14/gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,125,123,256,10,327680,20x,1184198,1510912,default_float32_on_2080ti,float32,float32,float32,float32_only,5,mid_epoch,2.5,2,input_seq_len,256,valid/input_seq_len/accuracy-256,0.997453125
cb256-r10-s125-d123,gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,flash,20260519_rank_gdn_capacity_up,rank_or_capacity_up,1,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/qis3cwsjcfv2h9uqx38rc,/home/lyj/mnt/project/zoology/swanlog/run-20260519_055419-qis3cwsjcfv2h9uqx38rc,flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14,7021.956089165062,01:57:02,False,10809,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14/gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,125,123,256,10,327680,20x,1184198,1510912,default_float32_on_2080ti,float32,float32,float32,float32_only,6,epoch_end,3.0,2,input_seq_len,256,valid/input_seq_len/accuracy-256,0.99659375
cb256-r10-s125-d123,gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,flash,20260519_rank_gdn_capacity_up,rank_or_capacity_up,1,completed,128,32,2,256,128x2,4,4,2,8,epoch_end,epoch4_noearly_b128_ga2,True,https://swanlab.cn/@scu-mclab/flash_vqg_gd_residual_v1_mqar/runs/qis3cwsjcfv2h9uqx38rc,/home/lyj/mnt/project/zoology/swanlog/run-20260519_055419-qis3cwsjcfv2h9uqx38rc,flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14,7021.956089165062,01:57:02,False,10809,11264,NVIDIA GeForce RTX 2080 Ti,7.5,,zoology/analysis/flash_vqg/results/flash-vqg-20260519-gd-rank-gdn-capacity-up-flash-r10-s125-b128-ga2-eb32-2026-05-19-05-54-14/gd-r10-wk4-mu01-t025-cb256-s125-d123-noearly4ep,125,123,256,10,327680,20x,1184198,1510912,default_float32_on_2080ti,float32,float32,float32,float32_only,7,mid_epoch,3.5,3,input_seq_len,256,valid/input_seq_len/accuracy-256,0.997828125
